CATALOG_NAME,SCHEMA_NAME,CHILD_TABLE_NAME,PARENT_TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,CHILD_COLUMN_NAME,PARENT_COLUMN_NAME
TREVISTO_SANDBOX,DMI,GESCHAFTSLEITER,LANDESGESELLSCHAFT,FK_GL_LGES,FOREIGN KEY,LGES_ID,LGES_ID
TREVISTO_SANDBOX,DMI,GESCHAFTSLEITER,MITARBEITER,FK_GL_MARB,FOREIGN KEY,GL_ID,MARB_ID
TREVISTO_SANDBOX,DMI,LAND,LAENDERGRUPPE,FK_LAND_LGRP,FOREIGN KEY,LGRP_ID,LGRP_ID
TREVISTO_SANDBOX,DMI,LANDESGESELLSCHAFT,LAND,FK_LGES_LAND,FOREIGN KEY,LAND_ID,LAND_ID
TREVISTO_SANDBOX,DMI,REGION,LAND,FK_REGION_LAND,FOREIGN KEY,LAND_ID,LAND_ID
